left: 351, right: 362, top: 78, bot:88, width: 2 
left: 352, right: 363, top: 78, bot:87, width: 2 
left: 351, right: 363, top: 77, bot:87, width: 2 
left: 348, right: 359, top: 78, bot:87, width: 2 
left: 348, right: 360, top: 75, bot:84, width: 2 
left: 349, right: 360, top: 74, bot:84, width: 2 
left: 349, right: 360, top: 74, bot:84, width: 2 
left: 349, right: 360, top: 74, bot:84, width: 2 
left: 349, right: 360, top: 75, bot:85, width: 2 
left: 349, right: 360, top: 74, bot:84, width: 2 
left: 349, right: 360, top: 75, bot:85, width: 2 
left: 349, right: 361, top: 75, bot:85, width: 2 
left: 350, right: 361, top: 76, bot:86, width: 2 
left: 349, right: 360, top: 76, bot:86, width: 2 
left: 349, right: 360, top: 77, bot:86, width: 2 
left: 349, right: 359, top: 77, bot:86, width: 2 
left: 348, right: 359, top: 76, bot:86, width: 2 
left: 349, right: 359, top: 76, bot:85, width: 2 
left: 349, right: 360, top: 75, bot:85, width: 2 
left: 349, right: 360, top: 75, bot:85, width: 2 
left: 349, right: 360, top: 75, bot:85, width: 2 
left: 349, right: 360, top: 75, bot:85, width: 2 
left: 348, right: 360, top: 75, bot:84, width: 2 
left: 348, right: 360, top: 74, bot:84, width: 2 
left: 348, right: 359, top: 74, bot:84, width: 2 
left: 348, right: 359, top: 75, bot:84, width: 2 
left: 348, right: 359, top: 75, bot:84, width: 2 
left: 348, right: 359, top: 75, bot:84, width: 2 
left: 348, right: 359, top: 75, bot:85, width: 2 
left: 348, right: 360, top: 75, bot:85, width: 2 
left: 348, right: 360, top: 74, bot:84, width: 2 
left: 348, right: 360, top: 73, bot:83, width: 2 
left: 348, right: 360, top: 72, bot:82, width: 2 
left: 349, right: 361, top: 72, bot:83, width: 2 
left: 350, right: 363, top: 73, bot:84, width: 2 
left: 351, right: 364, top: 73, bot:84, width: 2 
left: 350, right: 363, top: 73, bot:84, width: 2 
left: 350, right: 362, top: 73, bot:83, width: 2 
left: 349, right: 362, top: 72, bot:83, width: 2 
left: 351, right: 363, top: 72, bot:83, width: 2 
left: 350, right: 363, top: 72, bot:83, width: 2 
left: 351, right: 363, top: 72, bot:83, width: 2 
left: 350, right: 362, top: 72, bot:83, width: 2 
left: 350, right: 362, top: 72, bot:83, width: 2 
left: 349, right: 361, top: 72, bot:83, width: 2 
left: 348, right: 361, top: 72, bot:82, width: 2 
left: 348, right: 361, top: 71, bot:82, width: 2 
left: 348, right: 361, top: 71, bot:82, width: 2 
left: 349, right: 361, top: 71, bot:82, width: 2 
left: 350, right: 362, top: 71, bot:82, width: 2 
left: 352, right: 364, top: 71, bot:82, width: 2 
left: 353, right: 366, top: 71, bot:82, width: 2 
left: 356, right: 369, top: 71, bot:82, width: 2 
left: 358, right: 372, top: 70, bot:81, width: 2 
left: 361, right: 374, top: 70, bot:81, width: 2 
left: 361, right: 374, top: 69, bot:81, width: 2 
left: 361, right: 374, top: 69, bot:81, width: 2 
left: 360, right: 374, top: 69, bot:81, width: 2 
left: 360, right: 373, top: 69, bot:81, width: 2 
left: 360, right: 373, top: 69, bot:80, width: 2 
left: 359, right: 372, top: 69, bot:80, width: 2 
left: 359, right: 372, top: 69, bot:80, width: 2 
left: 360, right: 373, top: 69, bot:80, width: 2 
left: 360, right: 374, top: 69, bot:80, width: 2 
left: 360, right: 374, top: 68, bot:80, width: 2 
left: 359, right: 373, top: 68, bot:79, width: 2 
left: 359, right: 373, top: 68, bot:79, width: 2 
left: 359, right: 373, top: 68, bot:79, width: 2 
left: 359, right: 374, top: 68, bot:79, width: 2 
left: 358, right: 373, top: 68, bot:79, width: 2 
left: 358, right: 373, top: 68, bot:79, width: 2 
left: 358, right: 373, top: 68, bot:80, width: 2 
left: 359, right: 373, top: 69, bot:80, width: 2 
left: 359, right: 374, top: 69, bot:80, width: 2 
left: 359, right: 373, top: 69, bot:81, width: 2 
left: 358, right: 372, top: 70, bot:81, width: 2 
left: 357, right: 371, top: 70, bot:81, width: 2 
left: 358, right: 372, top: 69, bot:81, width: 2 
left: 359, right: 374, top: 68, bot:80, width: 2 
left: 361, right: 375, top: 68, bot:80, width: 2 
left: 361, right: 376, top: 67, bot:79, width: 2 
left: 361, right: 377, top: 67, bot:79, width: 2 
left: 362, right: 377, top: 66, bot:78, width: 2 
left: 362, right: 378, top: 65, bot:78, width: 2 
left: 362, right: 378, top: 65, bot:77, width: 2 
left: 363, right: 378, top: 65, bot:78, width: 2 
left: 363, right: 379, top: 65, bot:78, width: 2 
left: 364, right: 379, top: 65, bot:78, width: 2 
left: 364, right: 380, top: 65, bot:78, width: 2 
left: 364, right: 380, top: 65, bot:78, width: 2 
left: 364, right: 380, top: 65, bot:77, width: 2 
left: 364, right: 380, top: 65, bot:77, width: 2 
left: 364, right: 380, top: 65, bot:77, width: 2 
left: 365, right: 380, top: 65, bot:77, width: 2 
left: 365, right: 381, top: 65, bot:77, width: 2 
left: 366, right: 381, top: 65, bot:77, width: 2 
left: 366, right: 381, top: 65, bot:77, width: 2 
left: 366, right: 382, top: 65, bot:77, width: 2 
left: 366, right: 382, top: 65, bot:77, width: 2 
